continent,country,month,year,type
North America,United States,October,2020,Phishing
North America,United States,October,2017,Malware
North America,United States,October,2014,Man-in-the-Middle
North America,United States,October,2018,Man-in-the-Middle
North America,United States,October,2017,Phishing
North America,United States,October,2017,SQL injection
North America,United States,September,2019,APT
North America,United States,September,2020,APT
North America,United States,October,2014,Zero-Day Exploit
North America,United States,September,2017,APT
North America,United States,September,2018,APT
North America,United States,September,2012,DDoS
North America,United States,September,2015,DoS
North America,United States,September,2017,Espionage
North America,United States,September,2011,Malware
North America,United States,September,2013,Malware
North America,United States,September,2017,Malware
North America,United States,September,2007,Phishing
North America,United States,September,2019,Phishing
North America,United States,June,2009,Espionage
North America,United States,September,2016,Phishing
North America,United States,September,2017,Phishing
North America,United States,September,2018,SQL injection
North America,United States,September,2020,Phishing
North America,United States,September,2013,Zero-Day Exploit
North America,United States,September,2019,Zero-Day Exploit
North America,Unites States,March,2009,Malware
Asia,Uzbekistan,March,2020,Malware
Asia,Vietnam,April,2021,Espionage
Asia,Vietnam,February,2021,Espionage
Asia,Vietnam,March,2010,Phishing
Asia,Vietnam,May,2020,Phishing
Asia,Vietnam,February,2019,Espionage
Asia,Yemen,February,2021,APT
